"Year","latitude","depth","avgtemp","MinTemp","MaxTemp","stdev","n","stderr","CI"
2009,53.5,"Mid",4.556085,0,0,0.358408,48295,0.001631,0
2009,53.5,"Shallow",5.689381,0,0,0.377208,49069,0.001703,0
2009,54.5,"Deep",3.094961,0,0,0.359854,21757,0.00244,0
2009,54.5,"Mid",4.68897,0,0,0.296692,41460,0.001457,0
2009,54.5,"Shallow",5.679213,0,0,0.260177,17418,0.001971,0
2010,48.5,"Deep",3.325287,0,0,0.329529,50273,0.00147,0
2010,48.5,"Mid",4.328331,0,0,0.2944,38395,0.001502,0
2010,48.5,"Shallow",6.294096,0,0,0.328528,28214,0.001956,0
2010,49.5,"Deep",3.373478,0,0,0.262618,49069,0.001186,0
2010,49.5,"Mid",4.896981,0,0,0.265079,58439,0.001097,0
2010,49.5,"Shallow",6.196502,0,0,0.330282,41340,0.001624,0
2010,50.5,"Deep",3.281471,0,0,0.307046,22586,0.002043,0
2010,50.5,"Mid",4.402332,0,0,0.33551,28682,0.001981,0
2010,50.5,"Shallow",5.926504,0,0,0.437521,48055,0.001996,0
2010,51.5,"Deep",3.289466,0,0,0.223786,118981,0.000649,0
2010,51.5,"Mid",4.557521,0,0,0.484697,81342,0.001699,0
2010,51.5,"Shallow",5.780051,0,0,0.349028,62996,0.001391,0
2010,52.5,"Deep",3.349345,0,0,0.273603,50402,0.001219,0
2010,52.5,"Mid",4.293576,0,0,0.331152,77342,0.001191,0
2010,52.5,"Shallow",5.571098,0,0,0.493337,41790,0.002413,0
2010,53.5,"Deep",3.17848,0,0,0.230945,50262,0.00103,0
2010,53.5,"Mid",4.135523,0,0,0.456699,80190,0.001613,0
2010,53.5,"Shallow",5.304445,0,0,0.318558,55458,0.001353,0
2010,54.5,"Deep",3.194401,0,0,0.275204,22632,0.001829,0
2010,54.5,"Mid",4.202028,0,0,0.437466,15516,0.003512,0
2010,54.5,"Shallow",4.904753,0,0,0.153725,7045,0.001831,0
2011,48.5,"Deep",3.169157,0,0,0.324088,54966,0.001382,0
2011,48.5,"Mid",4.231209,0,0,0.306226,25237,0.001928,0
2011,48.5,"Shallow",6.134407,0,0,0.57073,38833,0.002896,0
2011,49.5,"Deep",3.402833,0,0,0.24421,28115,0.001456,0
2011,49.5,"Mid",4.453001,0,0,0.357356,41142,0.001762,0
2011,49.5,"Shallow",5.242527,0,0,0.077396,8148,0.000857,0
2011,50.5,"Deep",3.191334,0,0,0.334613,32718,0.00185,0
2011,50.5,"Mid",4.723379,0,0,0.202859,16543,0.001577,0
2011,50.5,"Shallow",6.421213,0,0,0.316415,36568,0.001655,0
2011,51.5,"Deep",3.318868,0,0,0.232101,46160,0.00108,0
2011,51.5,"Mid",4.091564,0,0,0.335945,29973,0.00194,0
2011,51.5,"Shallow",5.653832,0,0,0.426288,115279,0.001256,0
2011,52.5,"Deep",2.895628,0,0,0.309262,44976,0.001458,0
2011,52.5,"Mid",4.277439,0,0,0.432904,21606,0.002945,0
2011,52.5,"Shallow",5.84851,0,0,0.360481,30217,0.002074,0
2011,53.5,"Deep",3.109908,0,0,0.293935,38640,0.001495,0
2011,53.5,"Mid",4.304438,0,0,0.386739,61617,0.001558,0
2011,53.5,"Shallow",5.476095,0,0,0.306481,15972,0.002425,0
2011,54.5,"Deep",3.060267,0,0,0.037361,15300,0.000302,0
2011,54.5,"Shallow",5.675889,0,0,0.25707,23994,0.00166,0
